ph,temperature,humidity,altitude,rainfall,N,P,K,label
7.32,23.2,49.1,1461.0,665.48,57.0,31.0,71.0,Almond
6.52,29.39,44.96,556.0,685.12,92.0,51.0,106.0,Almond
6.97,28.88,67.62,1421.0,918.34,62.0,57.0,101.0,Almond
6.96,23.86,58.27,1404.0,565.8,95.0,38.0,97.0,Almond
6.23,18.26,59.2,579.0,439.92,47.0,51.0,74.0,Almond
7.23,29.31,45.12,872.0,920.78,62.0,48.0,114.0,Almond
6.86,15.91,59.43,991.0,450.31,57.0,22.0,109.0,Almond
6.87,18.29,54.74,1257.0,495.99,46.0,57.0,100.0,Almond
6.44,24.56,54.94,396.0,403.97,37.0,20.0,68.0,Almond
6.33,16.72,56.01,1393.0,910.19,70.0,48.0,101.0,Almond
6.91,27.05,56.05,1306.0,497.72,47.0,25.0,94.0,Almond
6.03,25.09,62.39,1154.0,408.24,58.0,39.0,110.0,Almond
6.76,26.45,40.89,154.0,672.33,40.0,55.0,59.0,Almond
6.67,17.52,58.6,937.0,884.65,79.0,35.0,114.0,Almond
6.41,22.88,49.05,836.0,686.84,37.0,32.0,92.0,Almond
7.08,28.92,62.65,643.0,575.5,42.0,25.0,55.0,Almond
6.5,23.4,54.58,822.0,739.76,96.0,57.0,101.0,Almond
7.38,21.02,49.04,937.0,609.79,80.0,60.0,72.0,Almond
6.99,21.49,60.66,494.0,661.68,50.0,45.0,83.0,Almond
6.94,21.71,68.57,73.0,719.45,46.0,30.0,69.0,Almond
6.91,22.0,48.81,150.0,473.59,79.0,39.0,90.0,Almond
6.25,26.11,57.22,894.0,400.17,115.0,49.0,86.0,Almond
7.2,17.4,46.77,354.0,875.02,33.0,34.0,100.0,Almond
6.08,19.26,54.51,136.0,787.93,63.0,52.0,72.0,Almond
7.43,21.72,64.6,1067.0,911.79,38.0,30.0,88.0,Almond
6.84,29.65,50.32,302.0,496.61,95.0,31.0,94.0,Almond
6.84,17.62,54.41,1487.0,469.07,111.0,53.0,104.0,Almond
6.07,22.33,61.92,526.0,558.4,101.0,36.0,61.0,Almond
6.79,19.05,68.16,652.0,800.19,111.0,37.0,91.0,Almond
6.53,23.53,61.98,1195.0,407.49,73.0,56.0,103.0,Almond
6.19,15.38,45.35,305.0,416.24,60.0,37.0,63.0,Almond
7.02,19.41,57.4,1247.0,866.05,36.0,44.0,82.0,Almond
6.23,28.03,63.21,1005.0,853.01,65.0,53.0,94.0,Almond
6.93,20.56,49.31,350.0,955.04,59.0,49.0,104.0,Almond
7.36,27.29,63.65,1138.0,874.58,72.0,25.0,51.0,Almond
6.01,19.21,52.6,796.0,485.46,45.0,32.0,113.0,Almond
6.56,16.22,40.32,1014.0,827.05,100.0,50.0,94.0,Almond
6.29,23.84,55.11,746.0,747.04,49.0,36.0,119.0,Almond
6.6,16.97,64.95,562.0,537.68,95.0,21.0,56.0,Almond
6.99,21.79,69.0,589.0,782.17,42.0,24.0,120.0,Almond
6.1,24.03,66.18,262.0,461.17,51.0,20.0,109.0,Almond
6.15,28.73,41.42,222.0,980.64,78.0,35.0,104.0,Almond
6.52,25.34,49.22,823.0,844.5,54.0,49.0,58.0,Almond
6.51,20.3,64.48,1355.0,811.19,92.0,39.0,120.0,Almond
6.25,24.3,49.95,852.0,740.13,103.0,42.0,89.0,Almond
6.43,18.56,67.74,1448.0,554.25,43.0,37.0,101.0,Almond
6.99,23.18,44.43,494.0,547.05,46.0,46.0,72.0,Almond
6.95,15.66,48.71,156.0,579.19,117.0,48.0,67.0,Almond
7.02,19.27,40.14,884.0,791.49,63.0,38.0,83.0,Almond
6.25,21.46,40.64,424.0,673.36,85.0,30.0,63.0,Almond
6.78,23.74,40.12,1305.0,701.58,113.0,58.0,119.0,Almond
7.28,29.19,63.11,1250.0,649.84,43.0,41.0,56.0,Almond
6.62,20.07,69.26,1121.0,559.34,31.0,46.0,60.0,Almond
6.0,28.69,42.64,243.0,402.3,72.0,58.0,86.0,Almond
7.27,28.49,54.7,1144.0,912.45,44.0,29.0,64.0,Almond
7.08,24.15,44.69,677.0,578.1,113.0,58.0,110.0,Almond
6.44,23.65,55.96,1245.0,518.22,92.0,59.0,106.0,Almond
6.33,16.44,68.49,300.0,558.45,69.0,56.0,117.0,Almond
6.61,25.2,47.55,254.0,525.47,110.0,39.0,75.0,Almond
6.16,20.57,61.66,470.0,421.0,82.0,40.0,103.0,Almond
6.1,23.53,48.61,1346.0,843.51,111.0,37.0,76.0,Almond
6.38,20.71,51.62,921.0,473.25,96.0,27.0,64.0,Almond
7.26,16.0,67.01,600.0,421.19,110.0,42.0,83.0,Almond
6.59,16.23,64.38,1425.0,950.53,117.0,52.0,77.0,Almond
6.63,16.11,55.83,1299.0,904.53,77.0,46.0,84.0,Almond
6.97,18.32,66.23,1127.0,619.52,107.0,35.0,60.0,Almond
6.08,27.69,63.41,750.0,484.87,117.0,33.0,80.0,Almond
7.19,15.0,46.09,923.0,862.96,63.0,60.0,113.0,Almond
7.17,20.98,42.74,135.0,875.58,43.0,60.0,98.0,Almond
6.71,23.06,42.3,90.0,894.3,68.0,31.0,112.0,Almond
6.24,16.81,68.76,722.0,883.07,58.0,30.0,55.0,Almond
7.28,22.59,62.34,888.0,610.12,95.0,25.0,60.0,Almond
7.5,16.92,42.93,611.0,769.78,52.0,36.0,105.0,Almond
6.91,21.54,68.63,764.0,627.19,74.0,30.0,50.0,Almond
7.38,20.88,68.68,1128.0,565.52,90.0,52.0,77.0,Almond
7.24,15.73,48.6,1251.0,525.7,86.0,58.0,57.0,Almond
6.93,17.99,62.52,1366.0,461.61,45.0,57.0,85.0,Almond
6.36,19.37,58.25,873.0,708.25,112.0,35.0,117.0,Almond
6.21,28.61,41.57,786.0,994.85,80.0,39.0,68.0,Almond
6.57,25.26,56.43,450.0,699.34,62.0,28.0,91.0,Almond
6.79,27.66,50.58,767.0,463.42,98.0,48.0,90.0,Almond
7.32,17.48,53.06,421.0,756.98,115.0,47.0,50.0,Almond
6.92,27.53,62.81,796.0,908.07,92.0,27.0,70.0,Almond
7.46,29.5,56.64,72.0,610.06,80.0,47.0,73.0,Almond
7.06,29.14,54.25,171.0,506.57,56.0,36.0,81.0,Almond
6.05,22.12,58.71,1373.0,493.87,43.0,49.0,85.0,Almond
6.84,23.25,66.15,1457.0,482.69,117.0,22.0,77.0,Almond
6.73,27.43,68.86,1062.0,477.52,70.0,40.0,87.0,Almond
6.68,22.73,40.62,961.0,445.42,43.0,43.0,86.0,Almond
7.44,23.88,60.99,940.0,742.68,110.0,42.0,59.0,Almond
6.89,15.6,40.53,1161.0,730.38,82.0,50.0,118.0,Almond
6.86,29.92,57.35,1267.0,950.48,70.0,53.0,102.0,Almond
6.94,24.11,66.15,776.0,973.61,120.0,43.0,72.0,Almond
6.1,22.06,64.71,247.0,827.01,37.0,53.0,102.0,Almond
6.5,28.42,65.88,432.0,764.04,112.0,40.0,52.0,Almond
7.46,17.78,69.5,682.0,457.75,65.0,58.0,64.0,Almond
6.73,15.45,56.15,1323.0,756.22,66.0,57.0,85.0,Almond
6.12,19.1,48.86,199.0,602.68,98.0,43.0,62.0,Almond
6.51,16.42,65.3,527.0,547.85,117.0,51.0,95.0,Almond
6.44,28.24,62.64,432.0,543.67,55.0,35.0,108.0,Almond
6.26,26.31,55.24,653.0,845.14,31.0,50.0,73.0,Almond
6.44,28.28,60.9,243.0,552.77,92.0,39.0,109.0,Almond
7.15,29.96,53.76,1476.0,498.29,95.0,24.0,62.0,Almond
6.86,16.76,47.46,696.0,946.72,34.0,35.0,67.0,Almond
6.92,15.06,40.44,461.0,788.68,64.0,34.0,54.0,Almond
6.94,29.77,61.76,775.0,652.92,89.0,47.0,119.0,Almond
6.03,18.93,61.75,1339.0,679.97,73.0,47.0,58.0,Almond
6.13,29.0,54.72,612.0,718.38,94.0,40.0,54.0,Almond
6.04,23.28,62.26,329.0,720.11,119.0,51.0,114.0,Almond
7.39,21.64,47.98,568.0,821.94,40.0,43.0,109.0,Almond
6.17,24.73,58.6,112.0,426.91,67.0,31.0,58.0,Almond
6.52,26.0,69.92,1107.0,946.67,67.0,31.0,79.0,Almond
6.07,19.71,49.11,618.0,883.35,63.0,36.0,109.0,Almond
6.32,25.6,47.2,1395.0,765.79,69.0,46.0,85.0,Almond
7.01,20.73,42.64,444.0,579.09,111.0,24.0,66.0,Almond
6.89,26.01,40.02,254.0,730.52,73.0,42.0,100.0,Almond
6.14,15.71,50.01,1064.0,899.26,59.0,25.0,88.0,Almond
7.43,16.4,68.8,779.0,913.16,77.0,25.0,62.0,Almond
6.77,24.54,65.23,497.0,946.26,64.0,50.0,103.0,Almond
6.85,20.03,54.27,289.0,478.7,102.0,24.0,59.0,Almond
6.22,24.07,63.91,991.0,817.54,88.0,58.0,83.0,Almond
6.94,21.67,54.72,392.0,749.46,79.0,55.0,92.0,Almond
7.13,16.8,58.32,1401.0,733.25,57.0,59.0,61.0,Almond
6.93,25.41,47.49,1401.0,550.62,102.0,29.0,105.0,Almond
7.0,16.73,50.22,1362.0,819.51,46.0,57.0,78.0,Almond
7.48,23.37,50.46,1013.0,897.41,103.0,20.0,53.0,Almond
7.49,21.32,54.51,615.0,572.96,31.0,40.0,105.0,Almond
7.45,29.41,55.11,372.0,443.59,38.0,40.0,62.0,Almond
6.35,22.18,61.5,584.0,619.7,68.0,35.0,62.0,Almond
7.45,27.38,52.77,106.0,549.09,54.0,55.0,67.0,Almond
6.21,16.7,63.34,1374.0,599.18,77.0,56.0,74.0,Almond
6.45,29.7,40.09,1007.0,429.72,60.0,53.0,84.0,Almond
7.14,28.77,48.09,580.0,693.56,52.0,47.0,88.0,Almond
6.13,25.34,43.93,1087.0,588.31,46.0,50.0,108.0,Almond
7.49,28.68,59.43,754.0,889.27,74.0,26.0,56.0,Almond
6.98,24.17,64.44,1034.0,679.45,82.0,58.0,55.0,Almond
6.87,21.34,64.46,604.0,489.64,79.0,39.0,95.0,Almond
6.07,17.45,54.15,1020.0,534.9,94.0,39.0,69.0,Almond
7.17,25.62,63.67,366.0,905.17,35.0,55.0,62.0,Almond
7.2,21.14,62.11,889.0,540.47,66.0,44.0,81.0,Almond
7.44,15.09,44.79,279.0,668.82,112.0,40.0,61.0,Almond
6.35,26.05,55.1,341.0,787.24,56.0,30.0,66.0,Almond
6.07,20.1,67.03,754.0,483.64,76.0,28.0,87.0,Almond
6.24,27.6,61.73,720.0,660.61,102.0,30.0,94.0,Almond
7.11,25.02,53.44,819.0,894.45,56.0,31.0,58.0,Almond
6.05,17.69,64.56,689.0,540.51,100.0,53.0,114.0,Almond
7.27,19.27,63.31,1151.0,522.78,72.0,57.0,104.0,Almond
6.29,23.09,48.24,533.0,642.45,107.0,29.0,110.0,Almond
6.04,27.75,54.3,1372.0,790.78,76.0,28.0,76.0,Almond
7.38,15.12,60.19,508.0,576.42,40.0,43.0,71.0,Almond
6.28,19.87,58.02,180.0,468.56,108.0,46.0,76.0,Almond
6.15,22.47,57.14,171.0,609.49,91.0,57.0,92.0,Almond
7.17,19.39,43.85,206.0,934.33,50.0,54.0,92.0,Almond
7.31,23.92,65.93,377.0,519.98,56.0,29.0,81.0,Almond
6.11,28.7,42.58,560.0,519.65,59.0,36.0,83.0,Almond
6.36,26.81,54.53,682.0,531.6,52.0,43.0,50.0,Almond
6.91,29.9,42.78,1430.0,866.16,71.0,41.0,100.0,Almond
6.48,17.55,43.88,793.0,734.6,85.0,32.0,102.0,Almond
6.94,23.65,58.97,1497.0,939.4,111.0,44.0,105.0,Almond
6.03,17.26,56.95,396.0,503.16,70.0,24.0,117.0,Almond
6.73,21.67,69.27,1348.0,888.25,70.0,48.0,74.0,Almond
6.62,23.97,58.91,589.0,725.96,79.0,49.0,59.0,Almond
6.43,27.41,50.1,486.0,582.53,45.0,47.0,83.0,Almond
7.11,18.26,53.39,1108.0,509.42,105.0,41.0,69.0,Almond
6.45,29.09,51.0,268.0,486.98,74.0,26.0,90.0,Almond
7.41,17.5,56.4,973.0,551.17,97.0,26.0,70.0,Almond
7.36,16.31,48.97,903.0,950.01,63.0,30.0,113.0,Almond
6.37,22.49,67.83,152.0,905.2,115.0,28.0,84.0,Almond
6.88,20.04,48.01,330.0,782.47,110.0,31.0,58.0,Almond
6.66,17.06,57.11,485.0,816.22,43.0,22.0,110.0,Almond
6.27,20.35,52.03,301.0,891.55,41.0,35.0,84.0,Almond
7.06,15.14,62.26,566.0,708.57,69.0,31.0,53.0,Almond
7.16,19.32,56.41,1056.0,996.73,55.0,34.0,83.0,Almond
6.64,29.53,50.47,673.0,648.1,111.0,32.0,71.0,Almond
6.81,28.33,61.76,293.0,509.3,77.0,23.0,64.0,Almond
6.96,27.06,56.85,970.0,447.8,68.0,41.0,88.0,Almond
7.38,15.27,42.03,157.0,848.29,56.0,60.0,60.0,Almond
6.36,20.57,50.76,425.0,939.74,55.0,32.0,108.0,Almond
6.63,17.67,65.3,653.0,966.82,66.0,40.0,116.0,Almond
6.33,19.65,47.68,1470.0,679.8,61.0,38.0,75.0,Almond
6.8,25.81,54.36,508.0,493.7,61.0,32.0,60.0,Almond
7.41,22.9,53.69,96.0,866.97,73.0,48.0,78.0,Almond
7.4,17.93,68.62,995.0,420.73,78.0,37.0,109.0,Almond
6.7,23.19,55.16,1049.0,937.26,32.0,51.0,57.0,Almond
6.18,18.76,48.69,630.0,584.45,66.0,26.0,112.0,Almond
6.64,29.45,42.32,411.0,580.65,119.0,56.0,77.0,Almond
6.82,19.38,60.33,1381.0,786.64,84.0,29.0,57.0,Almond
7.25,15.7,69.37,1043.0,665.45,106.0,27.0,58.0,Almond
6.87,19.33,52.74,112.0,560.79,76.0,55.0,56.0,Almond
7.03,26.3,64.92,997.0,832.61,100.0,44.0,104.0,Almond
6.66,26.36,60.4,1243.0,712.6,100.0,46.0,54.0,Almond
6.08,20.62,69.77,716.0,639.61,71.0,35.0,68.0,Almond
6.45,15.78,59.68,1165.0,831.49,38.0,22.0,99.0,Almond
6.63,20.67,46.34,293.0,692.04,62.0,55.0,68.0,Almond
6.89,17.25,50.52,1318.0,551.37,45.0,33.0,104.0,Almond
7.21,23.98,44.06,156.0,692.73,35.0,35.0,74.0,Almond
6.95,25.12,67.52,926.0,720.44,43.0,59.0,93.0,Almond
7.43,21.45,56.36,665.0,493.72,103.0,30.0,62.0,Almond
6.56,20.12,42.95,1178.0,608.33,39.0,53.0,86.0,Almond
6.75,29.66,68.21,610.0,482.89,104.0,58.0,50.0,Almond
7.32,23.2,49.1,1461.0,665.48,57.0,31.0,71.0,Almond
6.52,29.39,44.96,556.0,685.12,92.0,51.0,106.0,Almond
6.97,28.88,67.62,1421.0,918.34,62.0,57.0,101.0,Almond
6.96,23.86,58.27,1404.0,565.8,95.0,38.0,97.0,Almond
6.23,18.26,59.2,579.0,439.92,47.0,51.0,74.0,Almond
7.23,29.31,45.12,872.0,920.78,62.0,48.0,114.0,Almond
6.86,15.91,59.43,991.0,450.31,57.0,22.0,109.0,Almond
6.87,18.29,54.74,1257.0,495.99,46.0,57.0,100.0,Almond
6.44,24.56,54.94,396.0,403.97,37.0,20.0,68.0,Almond
6.33,16.72,56.01,1393.0,910.19,70.0,48.0,101.0,Almond
6.91,27.05,56.05,1306.0,497.72,47.0,25.0,94.0,Almond
6.03,25.09,62.39,1154.0,408.24,58.0,39.0,110.0,Almond
6.76,26.45,40.89,154.0,672.33,40.0,55.0,59.0,Almond
6.67,17.52,58.6,937.0,884.65,79.0,35.0,114.0,Almond
6.41,22.88,49.05,836.0,686.84,37.0,32.0,92.0,Almond
7.08,28.92,62.65,643.0,575.5,42.0,25.0,55.0,Almond
6.5,23.4,54.58,822.0,739.76,96.0,57.0,101.0,Almond
7.38,21.02,49.04,937.0,609.79,80.0,60.0,72.0,Almond
6.99,21.49,60.66,494.0,661.68,50.0,45.0,83.0,Almond
6.94,21.71,68.57,73.0,719.45,46.0,30.0,69.0,Almond
6.91,22.0,48.81,150.0,473.59,79.0,39.0,90.0,Almond
6.25,26.11,57.22,894.0,400.17,115.0,49.0,86.0,Almond
7.2,17.4,46.77,354.0,875.02,33.0,34.0,100.0,Almond
6.08,19.26,54.51,136.0,787.93,63.0,52.0,72.0,Almond
7.43,21.72,64.6,1067.0,911.79,38.0,30.0,88.0,Almond
6.84,29.65,50.32,302.0,496.61,95.0,31.0,94.0,Almond
6.84,17.62,54.41,1487.0,469.07,111.0,53.0,104.0,Almond
6.07,22.33,61.92,526.0,558.4,101.0,36.0,61.0,Almond
6.79,19.05,68.16,652.0,800.19,111.0,37.0,91.0,Almond
6.53,23.53,61.98,1195.0,407.49,73.0,56.0,103.0,Almond
6.19,15.38,45.35,305.0,416.24,60.0,37.0,63.0,Almond
7.02,19.41,57.4,1247.0,866.05,36.0,44.0,82.0,Almond
6.23,28.03,63.21,1005.0,853.01,65.0,53.0,94.0,Almond
6.93,20.56,49.31,350.0,955.04,59.0,49.0,104.0,Almond
7.36,27.29,63.65,1138.0,874.58,72.0,25.0,51.0,Almond
6.01,19.21,52.6,796.0,485.46,45.0,32.0,113.0,Almond
6.56,16.22,40.32,1014.0,827.05,100.0,50.0,94.0,Almond
6.29,23.84,55.11,746.0,747.04,49.0,36.0,119.0,Almond
6.6,16.97,64.95,562.0,537.68,95.0,21.0,56.0,Almond
6.99,21.79,69.0,589.0,782.17,42.0,24.0,120.0,Almond
6.1,24.03,66.18,262.0,461.17,51.0,20.0,109.0,Almond
6.15,28.73,41.42,222.0,980.64,78.0,35.0,104.0,Almond
6.52,25.34,49.22,823.0,844.5,54.0,49.0,58.0,Almond
6.51,20.3,64.48,1355.0,811.19,92.0,39.0,120.0,Almond
6.25,24.3,49.95,852.0,740.13,103.0,42.0,89.0,Almond
6.43,18.56,67.74,1448.0,554.25,43.0,37.0,101.0,Almond
6.99,23.18,44.43,494.0,547.05,46.0,46.0,72.0,Almond
6.95,15.66,48.71,156.0,579.19,117.0,48.0,67.0,Almond
7.02,19.27,40.14,884.0,791.49,63.0,38.0,83.0,Almond
6.25,21.46,40.64,424.0,673.36,85.0,30.0,63.0,Almond
6.78,23.74,40.12,1305.0,701.58,113.0,58.0,119.0,Almond
7.28,29.19,63.11,1250.0,649.84,43.0,41.0,56.0,Almond
6.62,20.07,69.26,1121.0,559.34,31.0,46.0,60.0,Almond
6.0,28.69,42.64,243.0,402.3,72.0,58.0,86.0,Almond
7.27,28.49,54.7,1144.0,912.45,44.0,29.0,64.0,Almond
7.08,24.15,44.69,677.0,578.1,113.0,58.0,110.0,Almond
6.44,23.65,55.96,1245.0,518.22,92.0,59.0,106.0,Almond
6.33,16.44,68.49,300.0,558.45,69.0,56.0,117.0,Almond
6.61,25.2,47.55,254.0,525.47,110.0,39.0,75.0,Almond
6.16,20.57,61.66,470.0,421.0,82.0,40.0,103.0,Almond
6.1,23.53,48.61,1346.0,843.51,111.0,37.0,76.0,Almond
6.38,20.71,51.62,921.0,473.25,96.0,27.0,64.0,Almond
7.26,16.0,67.01,600.0,421.19,110.0,42.0,83.0,Almond
6.59,16.23,64.38,1425.0,950.53,117.0,52.0,77.0,Almond
6.63,16.11,55.83,1299.0,904.53,77.0,46.0,84.0,Almond
6.97,18.32,66.23,1127.0,619.52,107.0,35.0,60.0,Almond
6.08,27.69,63.41,750.0,484.87,117.0,33.0,80.0,Almond
7.19,15.0,46.09,923.0,862.96,63.0,60.0,113.0,Almond
7.17,20.98,42.74,135.0,875.58,43.0,60.0,98.0,Almond
6.71,23.06,42.3,90.0,894.3,68.0,31.0,112.0,Almond
6.24,16.81,68.76,722.0,883.07,58.0,30.0,55.0,Almond
7.28,22.59,62.34,888.0,610.12,95.0,25.0,60.0,Almond
7.5,16.92,42.93,611.0,769.78,52.0,36.0,105.0,Almond
6.91,21.54,68.63,764.0,627.19,74.0,30.0,50.0,Almond
7.38,20.88,68.68,1128.0,565.52,90.0,52.0,77.0,Almond
7.24,15.73,48.6,1251.0,525.7,86.0,58.0,57.0,Almond
6.93,17.99,62.52,1366.0,461.61,45.0,57.0,85.0,Almond
6.36,19.37,58.25,873.0,708.25,112.0,35.0,117.0,Almond
6.21,28.61,41.57,786.0,994.85,80.0,39.0,68.0,Almond
6.57,25.26,56.43,450.0,699.34,62.0,28.0,91.0,Almond
6.79,27.66,50.58,767.0,463.42,98.0,48.0,90.0,Almond
7.32,17.48,53.06,421.0,756.98,115.0,47.0,50.0,Almond
6.92,27.53,62.81,796.0,908.07,92.0,27.0,70.0,Almond
7.46,29.5,56.64,72.0,610.06,80.0,47.0,73.0,Almond
7.06,29.14,54.25,171.0,506.57,56.0,36.0,81.0,Almond
6.05,22.12,58.71,1373.0,493.87,43.0,49.0,85.0,Almond
6.84,23.25,66.15,1457.0,482.69,117.0,22.0,77.0,Almond
6.73,27.43,68.86,1062.0,477.52,70.0,40.0,87.0,Almond
6.68,22.73,40.62,961.0,445.42,43.0,43.0,86.0,Almond
7.44,23.88,60.99,940.0,742.68,110.0,42.0,59.0,Almond
6.89,15.6,40.53,1161.0,730.38,82.0,50.0,118.0,Almond
6.86,29.92,57.35,1267.0,950.48,70.0,53.0,102.0,Almond
6.94,24.11,66.15,776.0,973.61,120.0,43.0,72.0,Almond
6.1,22.06,64.71,247.0,827.01,37.0,53.0,102.0,Almond
6.5,28.42,65.88,432.0,764.04,112.0,40.0,52.0,Almond
7.46,17.78,69.5,682.0,457.75,65.0,58.0,64.0,Almond
6.73,15.45,56.15,1323.0,756.22,66.0,57.0,85.0,Almond
6.12,19.1,48.86,199.0,602.68,98.0,43.0,62.0,Almond
6.51,16.42,65.3,527.0,547.85,117.0,51.0,95.0,Almond
6.44,28.24,62.64,432.0,543.67,55.0,35.0,108.0,Almond
6.26,26.31,55.24,653.0,845.14,31.0,50.0,73.0,Almond
6.44,28.28,60.9,243.0,552.77,92.0,39.0,109.0,Almond
7.15,29.96,53.76,1476.0,498.29,95.0,24.0,62.0,Almond
6.86,16.76,47.46,696.0,946.72,34.0,35.0,67.0,Almond
6.92,15.06,40.44,461.0,788.68,64.0,34.0,54.0,Almond
6.94,29.77,61.76,775.0,652.92,89.0,47.0,119.0,Almond
6.03,18.93,61.75,1339.0,679.97,73.0,47.0,58.0,Almond
6.13,29.0,54.72,612.0,718.38,94.0,40.0,54.0,Almond
6.04,23.28,62.26,329.0,720.11,119.0,51.0,114.0,Almond
7.39,21.64,47.98,568.0,821.94,40.0,43.0,109.0,Almond
6.17,24.73,58.6,112.0,426.91,67.0,31.0,58.0,Almond
6.52,26.0,69.92,1107.0,946.67,67.0,31.0,79.0,Almond
6.07,19.71,49.11,618.0,883.35,63.0,36.0,109.0,Almond
6.32,25.6,47.2,1395.0,765.79,69.0,46.0,85.0,Almond
7.01,20.73,42.64,444.0,579.09,111.0,24.0,66.0,Almond
6.89,26.01,40.02,254.0,730.52,73.0,42.0,100.0,Almond
6.14,15.71,50.01,1064.0,899.26,59.0,25.0,88.0,Almond
7.43,16.4,68.8,779.0,913.16,77.0,25.0,62.0,Almond
6.77,24.54,65.23,497.0,946.26,64.0,50.0,103.0,Almond
6.85,20.03,54.27,289.0,478.7,102.0,24.0,59.0,Almond
6.22,24.07,63.91,991.0,817.54,88.0,58.0,83.0,Almond
6.94,21.67,54.72,392.0,749.46,79.0,55.0,92.0,Almond
7.13,16.8,58.32,1401.0,733.25,57.0,59.0,61.0,Almond
6.93,25.41,47.49,1401.0,550.62,102.0,29.0,105.0,Almond
7.0,16.73,50.22,1362.0,819.51,46.0,57.0,78.0,Almond
7.48,23.37,50.46,1013.0,897.41,103.0,20.0,53.0,Almond
7.49,21.32,54.51,615.0,572.96,31.0,40.0,105.0,Almond
7.45,29.41,55.11,372.0,443.59,38.0,40.0,62.0,Almond
6.35,22.18,61.5,584.0,619.7,68.0,35.0,62.0,Almond
7.45,27.38,52.77,106.0,549.09,54.0,55.0,67.0,Almond
6.21,16.7,63.34,1374.0,599.18,77.0,56.0,74.0,Almond
6.45,29.7,40.09,1007.0,429.72,60.0,53.0,84.0,Almond
7.14,28.77,48.09,580.0,693.56,52.0,47.0,88.0,Almond
6.13,25.34,43.93,1087.0,588.31,46.0,50.0,108.0,Almond
7.49,28.68,59.43,754.0,889.27,74.0,26.0,56.0,Almond
6.98,24.17,64.44,1034.0,679.45,82.0,58.0,55.0,Almond
6.87,21.34,64.46,604.0,489.64,79.0,39.0,95.0,Almond
6.07,17.45,54.15,1020.0,534.9,94.0,39.0,69.0,Almond
7.17,25.62,63.67,366.0,905.17,35.0,55.0,62.0,Almond
7.2,21.14,62.11,889.0,540.47,66.0,44.0,81.0,Almond
7.44,15.09,44.79,279.0,668.82,112.0,40.0,61.0,Almond
6.35,26.05,55.1,341.0,787.24,56.0,30.0,66.0,Almond
6.07,20.1,67.03,754.0,483.64,76.0,28.0,87.0,Almond
6.24,27.6,61.73,720.0,660.61,102.0,30.0,94.0,Almond
7.11,25.02,53.44,819.0,894.45,56.0,31.0,58.0,Almond
